메뉴,재료,양,레시피
콩나물제육볶음,"['돼지고기', '콩나물', '깻잎', '양파', '대파', '청양고추', '고추장', '고춧가루', '진간장', '다진 마늘', '설탕', '맛술', '후추', '식용유']","['350g', '100g', '6장', '80g', '40g', '1개', '1큰술', '2큰술', '2큰술', '1큰술', '2큰술', '2큰술', '1작은술', '2큰술']","['깻잎은 4cm 크기로 썰고 대파와 청양고추는 어슷하게 썰고 양파는 채썰어주세요.', '돼지고기는 5cm 크기로 자르고 콩나물은 손질해주세요.*Tip. 돼지고기 부위는 삼겹, 목살, 앞다리살, 뒷다리살 모두 괜찮지만 목살이 담백하고 맛있어요!', '달군 팬에 식용유를 두르고 대파를 넣어 파기름을 내주세요.', '파 향이 올라오면 돼지고기를 넣고 1분 정도 볶아주세요.', '설탕, 맛술, 후추를 넣고 2분 정도 더 볶아주세요.', '돼지고기가 다 익으면 고추장, 고춧가루, 진간장, 마늘을 넣고 1분 정도 볶아주세요.', '콩나물, 깻잎, 양파, 청양고추를 넣고 콩나물의 숨이 죽을 때까지 2분 정도 더 볶아주세요.', '맛있게 볶음 콩나물제육볶음을 그릇에 덜어 맛있게 즐기세요. 기호에 따라 상추나 깻잎 등 쌈채소를 곁들여도 좋아요!']"
굴순두부찌개,"['굴', '순두부', '달걀', '애호박', '양파', '대파', '청양고추', '홍고추', '물', '고춧가루', '식용유', '국간장', '다진 마늘', '설탕', '소금', '후추', '굵은 소금', '식초']","['130g', '350g', '1개', '120g', '50g', '20g', '1개', '1개', '800ml', '2큰술', '3큰술', '2큰술', '1큰술', '½큰술', '½큰술', '1작은술', '1큰술', '2큰술']","['대파, 청양고추, 홍고추를 어슷하게 썰어주세요.', '양파는 채 썰고 애호박은 1cm 두께로 슬라이스한 뒤 반으로 잘라주세요.', '순두부는 1.5cm 두께로 동그랗게 자른 뒤 30분 정도 물기를 빼주세요.*Tip. 순두부를 바로 사용하면 수분이 생겨 간을 맞추기 어렵고 맛이 없어지니 꼭 수분을 빼고 넣어주세요!', '약불로 달군 냄비에 식용유를 두르고 대파와 고춧가루를 넣어 1분 정도 볶아 고추기름을 내주세요.', '물을 넣고 3분 정도 끓인 뒤 국간장, 마늘, 설탕, 소금, 후추를 넣고 2분 정도 더 끓여주세요.', '애호박, 양파, 대파, 청양고추, 홍고추를 넣고 1분 정도 끓여주세요.', '순두부를 넣고 달걀을 풀어서 넣어주세요.', '분량의 세척 재료로 잘 세척한 굴을 넣고 3분 정도 더 끓여주세요.', '향긋한 굴내음과 부드러운 순두부를 음미하며 맛있게 즐기세요!']"
모둠버섯찌개,"['소고기 (양지살)', '느타리버섯', '팽이버섯', '표고버섯', '양파', '대파', '청양고추', '홍고추', '국간장', '고추장', '고춧가루', '다진 마늘', '설탕', '된장', '참기름', '물']","['300g', '130g', '80g', '4개', '10g', '50g', '1개', '1개', '2큰술', '2큰술', '1큰술', '1큰술', '½큰술', '½큰술', '1큰술', '800ml']","['소고기를 물에 담가 30분 정도 핏물을 빼주세요.', '양파는 채 썰고 대파, 청양고추, 홍고추는 어슷하게 썰어주세요.', '느타리버섯과 팽이버섯은 밑동을 자르고 느타리버섯은 하나씩 떼주세요. 표고버섯은 1cm 두께로 슬라이스해주세요.', '달군 냄비에 참기름을 두르고 소고기를 넣어 1분 정도 볶아주세요.', '소고기가 익으면 물을 넣고 국간장, 고추장, 고춧가루, 마늘, 설탕, 된장을 넣어 5분 정도 끓여주세요.', '팔팔 끓어오르면 느타리버섯, 팽이버섯, 표고버섯, 양파, 대파, 청양고추, 홍고추를 넣고 표고버섯이 익을 때까지 5분 정도 더 끓여주세요.', '완성된 모둠버섯찌개를 그릇에 담아, 쫄깃한 버섯과 깊은 맛의 소고기 국물을 함께 떠서 맛있게 드셔보세요!']"
감자북엇국,"['북어채', '양파', '대파', '감자', '달걀', '물', '참기름', '다진 마늘', '국간장', '소금', '후추']","['40g', '50g', '20g', '1개', '1개', '800ml', '1큰술', '½큰술', '2큰술', '1작은술', '½작은술']","['북어채는 20분 정도 물에 담가 염분을 빼고 양손으로 짜서 물기를 제거해주세요.', '양파, 대파는 채 썰고 감자는 1cm 크기로 깍둑 썰어 주세요.', '달군 냄비에 참기름을 두르고 적당한 크기로 자른 북어채를 넣어 2~3분 정도 볶아주세요.', '감자, 물을 넣고 센불에서 4분 정도 끓여주세요. 거품이 생기면 걷어내주세요.', '젓가락으로 감자를 찔러보고 감자가 익었으면 국간장, 소금, 후추를 넣고 한소끔 더 끓여주세요.', '달걀을 잘 풀어서 넣고 양파, 대파, 마늘을 넣고 2분 정도 더 끓여주세요.*Tip. 달걀물을 넣고 바로 저으면 달걀 특유의 비린내가 날 수 있으므로 30초 정도 뒤에 저어주세요!', '그릇에 덜어 따뜻할 때 맛있게 드세요!']"
대패삼겹살된장찌개,"['대패삼겹살', '무우', '애호박', '청양고추', '홍고추', '대파', '두부', '양파', '표고버섯', '쌀뜨물', '국간장', '다진 마늘', '고추장', '된장', '고춧가루']","['130g', '40g', '45g', '1개', '1개', '15g', '45g', '60g', '1개', '500ml', '1큰술', '1큰술', '1큰술', '2큰술', '1큰술']","['무와 애호박은 1cm 두께로 슬라이스한 뒤 무는 4등분하고 애호박은 2등분 해주세요.', '청양고추와 홍고추, 대파는 어슷하게 썰어주세요.', '두부는 5cm 정도 크기로 네모나게 자르고 양파, 표고버섯은 1cm 크기로 채썰어주세요.*Tip. 표고버섯을 넣으면 국물 맛이 더 진하고 감칠맛이 난답니다!', '냄비에 대패삼겹살을 넣고 약중불에서 2분 정도 볶아주세요.', '무를 넣어 볶다가 무가 투명해지면 쌀뜨물을 넣고 센불에서 3분 정도 끓여주세요.*Tip. 멸치, 다시마를 넣어 국물을 내도 좋지만 쌀뜨물을 사용하면 더 구수하면서 담백해요.', '팔팔 끓으면 국간장, 마늘, 고추장, 된장, 고춧가루를 넣고 한소끔 끓여주세요. 거품이 생기면 걷어내주세요.', '애호박, 청양고추, 홍고추, 대파, 두부, 양파, 표고버섯을 넣고 2분 정도 더 끓여주세요.', '그릇에 덜어 맛있게 즐겨보세요!']"
파채불고기,"['소고기(설도)', '양파', '당근', '대파', '배', '진간장', '국간장', '올리고당', '후추', '설탕', '다진 마늘', '맛술']","['300g', '80g', '30g', '100g', '½개', '5큰술', '1큰술', '1큰술', '1작은술', '2큰술', '1큰술', '1큰술']","['소고기는 물에 30분 정도 담가 핏물을 제거해주세요.*Tip. 불고기용 소고기는 얇아서 오랫동안 핏물을 빼지 않아도 된답니다!', '양파, 당근은 채 썰고 대파는 길이 7~8cm, 두께 0.5cm 크기로 채 썰어주세요.', '배는 껍질을 벗기고 믹서에 곱게 간 뒤 소고기에 넣어주세요.*Tip. 혹시 배가 없다면 배 음료 80g을 넣어주세요.', '진간장, 국간장을 넣고 골고루 섞어주세요.', '순서 4에 올리고당, 후추, 설탕, 마늘, 맛술을 넣고 잘 버무린 뒤 냉장고에서 30분 정도 숙성시키고 꺼내 기름을 두르지 않은 팬에 넣고 센불로 5분 정도 볶아주세요.*Tip. 센불에서 빠르게 익히는 게 중요하고 너무 자주 뒤섞지 않는 게 좋아요!', '양파, 당근을 넣고 당근이 익을 때까지 2분 정도 볶아주세요.', '볶은 불고기 위에 채 썬 대파를 올려서 맛있게 즐겨보세요!']"
대패삼겹살고추장찌개,"['대패삼겹살', '감자', '양파', '느타리버섯', '대파', '청양고추', '홍고추', '물', '고춧가루', '설탕', '국간장', '고추장', '다진 마늘', '참기름', '식용유']","['200g', '250g', '80g', '65g', '20g', '1개', '1개', '100ml', '1큰술', '1큰술', '3큰술', '1큰술', '1큰술', '1큰술', '2큰술']","['대파는 1cm 크기로 송송 썰고 청양고추, 홍고추는 어슷하게 썰어주세요.', '양파는 채 썰고 감자는 껍질을 벗기고 2cm 두께로 슬라이스한 뒤 2등분 해주세요.', '느타리버섯은 흐르는 물에 잘 씻고 밑동을 잘라주세요.', '달군 냄비에 식용유를 두르고 대파를 넣어 파기름을 낸 뒤 대패삼겹살을 넣어 2~3분 정도 볶아주세요.*Tip. 고기류는 미리 한 번 볶는 게 좋고 노릇하게 오랫동안 볶는 게 포인트예요!', '대패삼겹살이 노릇하게 익으면 고춧가루를 넣고 30초 정도 볶아주세요.*Tip. 고춧가루를 넣으면 고추기름이 생기면서 고기에 간이 배어요!', '물을 넣고 보글보글 끓어오르면 감자를 넣어 1분 정도 끓여주세요.', '설탕, 국간장, 고추장, 마늘, 참기름을 넣고 1분 정도 끓여주세요.', '느타리버섯, 양파, 청양고추, 홍고추를 넣고 감자가 익을 때까지 4분 정도 더 끓이면 완성이예요.']"
제주식 고사리육개장,"['닭', '물', '고사리', '고춧가루', '대파', '다진 마늘', '고춧가루', '소금', '후추', '우유', '찹쌀가루', '물']","['1마리(1kg)', '1.2L', '150g', '2큰술', '25g', '1큰술', '2큰술', '½큰술', '1작은술', '적당량', '45g', '250ml']","['닭은 흐르는 물에 잘 씻어 비계 부분을 손질하고 우유에 30분 정도 담가둔 뒤 씻어주세요.*Tip. 닭을 우유에 담가두면 육질이 부드러워질 뿐 아니라 잡내를 없애줘요.', '고사리는 깨끗하게 씻은 뒤 믹서에 갈아주세요.', '냄비에 닭, 물을 넣어 30분 정도 삶은 뒤 닭을 꺼내 살을 잘게 발라주세요. 이 때 닭을 삶은 물은 버리지 않아요.', '찹쌀가루와 물을 그릇에 넣고 숟가락으로 잘 개어 찹쌀물을 만들어주세요.', '순서 3의 닭 삶았던 물에 믹서에 간 고사리와 잘게 바른 닭을 넣고 끓여주세요.', '김이 나고 끓어오르면 마늘, 고춧가루, 소금, 후추를 넣어 간을 맞춰주세요.', '순서 4의 찹쌀물을 넣고 고사리가 익을 때까지 5분 정도 더 끓여주세요.', '그릇에 덜어 깊고 진한 닭육수의 고사리육개장을 음미해보세요. 제주도에서 먹었던 고사리육개장의 추억이 떠오르실거예요. 매콤한 걸 즐기신다면 취향껏 고춧가루를 더 넣어 드셔도 좋답니다!']"
홍합탕,"['홍합', '양파', '대파', '청양고추', '홍고추', '다진 마늘', '맛술', '후추', '물']","['1kg', '100g', '30g', '1개', '1개', '½큰술', '1큰술', '1작은술', '1L']","['홍합 수염을 제거하고 깨끗하게 세척해주세요.', '양파는 반으로 자르고 대파는 6cm 크기로 썰어주세요.', '청양고추와 홍고추는 어슷하게 썰어주세요.', '냄비에 홍합, 양파, 대파, 물을 넣고 5분 정도 끓인다. 거품이 생기면 걷어내주세요.', '양파가 말랑말랑해질 때까지 5분 정도 더 끓인 뒤 양파와 대파를 건져내주세요.*Tip. 오래 끓여서 물이 줄어들면 250ml 정도 더 넣어주세요.', '마늘, 맛술, 후추를 넣고 1분 정도 끓인 뒤 불을 끄고 청양고추, 홍고추를 넣으면 완성이예요.']"
들깨감잣국,"['감자', '대파', '국물용 멸치', '다시마 (5X4cm 크기)', '물', '들깨가루', '들기름', '다진 마늘', '국간장', '소금']","['3개(250g)', '20g', '10g', '2장', '800ml', '2큰술', '½큰술', '1큰술', '2큰술', '1작은술']","['멸치, 다시마는 다시백에 넣어주세요.', '대파는 잘 씻어서 1cm 두께로 송송 썰어주세요.', '감자는 껍질을 벗기고 3cm 크기로 깍둑 썰어주세요.', '냄비에 물과 순서 1의 다시백을 넣고 5분 정도 끓여 국물을 낸 뒤 건져주세요.', '감자를 넣고 3분 정도 끓이다가 들깨가루, 들기름, 마늘, 국간장, 소금을 넣고 2분 정도 끓여주세요.', '감자가 다 익으면 대파를 넣고 2분 정도 더 끓여주세요.', '그릇에 덜어 따뜻할 때 맛있게 드셔보세요!']"
새우부추전,"['새우', '부추', '밀가루', '부침가루', '찬물', '식용유', '소금', '후추']","['140g', '40g', '50g', '50g', '120g', '5큰술', '1작은술', '약간']","['부추는 3cm 길이로 잘라주세요.', '새우는 흐르는 물에 씻고 꼬리를 제거한 뒤 키친타월에 올려 물기를 제거해주세요.', '밀가루, 부침가루, 찬물, 소금, 후추를 섞어서 반죽을 만들어주세요.', '순서 3의 반죽에 부추를 넣어 골고루 섞어주세요.', '달군 팬에 식용유를 두르고 순서 4의 반죽을 7cm 크기로 올린 뒤 새우를 하나씩 올리고 2~3분 정도 부쳐내주세요.', '접시에 담아 맛있게 드세요!']"
왕소시지김밥,"['프랑크소시지', '맛살', '단무지', '조림우엉', '달걀', '밥', '김밥용 김', '소금', '설탕', '식초', '깨', '참기름', '식용유', '머스터드 소스']","['500g', '216g(7줄)', '155g', '80g', '7개', '5공기', '10장', '½큰술', '½큰술', '1큰술', '1큰술', '1큰술', '1큰술', '약간']","['냄비에 물을 절반 정도 담고 끓인 뒤 프랑크소시지를 넣고 1분 정도 데쳐주세요.*Tip. 소시지를 데치면 첨가물과 나트륨이 제거되어 맛이 더 깔끔해져요. 오래 데치면 터질 수 있으니 1분만 데치고 칼집을 내주세요.', '달군 팬에 식용유를 두르고 잘 푼 달걀을 넣어 약불에서 달걀지단을 만들어주세요.', '단무지와 조림우엉은 적당한 크기로 길게 자르고 맛살은 반으로 갈라주세요.', '밥에 소금, 설탕, 식초, 깨, 참기름을 넣고 잘 섞어주세요.', '김밥 김을 깔고 밥을 주먹 크기만큼 올린 뒤 얇게 펴주세요.', '얇게 편 밥 위에 달걀지단을 올리고 조림우엉, 단무지, 맛살, 프랑크소시지를 올린 뒤 머스터드소스를 뿌려주세요.', '김 끝부분에 물을 바르고 재료가 흐트러지지 않게 돌돌 말아주세요.*Tip. 밥알로 붙여도 되지만 물을 묻히면 김이 더 잘 붙어요!', '김밥 표면과 칼에 참기름을 바르고 먹기 좋은 크기로 잘라주세요.', '완성된 왕소시지김밥은 머스터드 소스를 추가로 곁들여 찍어먹어도 맛이 좋답니다.']"
미소 청국장,"['두부', '애호박', '양파', '청양고추', '대파 (10cm)', '멸치 다시마 육수', '청국장', '된장', '다진 마늘', '고춧가루']","['½모', '⅓개', '¼개', '½개', '1개', '600ml', '1술(25g)', '1술(20g)', '⅓술', '약간']","['냄비에 멸치?다시마 육수를 붓고 청국장, 된장을 잘 풀어 넣은 뒤 강불에서 4분 이상 끓여주세요.', '반달썰기 한 애호박과 깍둑 썬 두부를 넣고 강불에서 끓여주세요. 재료가 어느 정도 익으면 반달썰기 한 양파와 어슷 썬 청양고추 그리고 다진 마늘을 넣고 3분 더 끓여주세요.', '마지막으로 어슷하게 썬 대파와 고춧가루를 넣고 중불에서 3분 더 끓여주세요.', '구수한 향을 음미하며 따뜻할 때 맛있게 드세요!']"
참가자미미역국,"['참가자미(大)', '생수', '맛술', '소금', '건미역', '고춧가루. 다진 마늘', '다진 생강', '들깨가루', '들기름', '국간장']","['1마리', '1.4L', '½술', '약간', '약간(10g)', '½술', '약간', '½술', '1술', '1술']","['냄비에 참가자미, 생수, 맛술을 넣고 강불에서 끓이다가 육수가 끓으면 중약불로 줄여 30분 끓여주세요.*Tip. 육수는 버리지 마세요!', '오목한 팬에 미역과 다진 마늘, 다진 생강, 들깨가루, 들기름과 국간장을 넣고 중불에서 4분간 볶아주세요.', '순서 1에 살만 발라낸 가자미와 순서 2를 넣고 중약불에서 10분 더 끓여주세요. 부족한 간은 소금으로 맞춰주세요.', '따끈한 참가자미미역국을 밥과 함께 맛있게 즐겨보세요.']"
들깨무채국,"['무우', '멸치 다시마 육수', '다진 마늘', '들기름', '들깨가루', '국간장', '소금']","['¼개(150g)', '700ml', '⅓술', '2술', '2술', '1술', '약간']","['냄비에 들기름을 두른 뒤 채 썬 무와 다진 마늘을 넣고 약불에서 5분 볶아주세요.', '멸치·다시마 육수를 넣고 강불에서 4분 끓인 뒤 들깨가루, 국간장, 소금을 넣고 중약불에서 6분 더 끓여주세요.', '어슷하게 썬 대파를 넣고 중약불에서 2분 더 끓여주세요.', '따끈할 때 맛있게 드세요!']"
섬초 된장국,"['섬초', '홍고추', '멸치 다시마 육수', '된장', '다진 마늘']","['2줌(120g)', '1개', '700ml', '1과 ½큰술(35g)', '1작은술']","['손질한 섬초를 살짝 데친 뒤 3~4등분으로 썰어 주세요.', '멸치·다시마 육수에 된장을 풀어서 넣고 강불에서 5~6분간 끓여주세요.', '섬초, 다진 마늘, 어슷하게 썬 홍고추를 넣고 중약불에서 5분 더 끓여주세요.', '섬초와 된장이 잘 우러난 국물에 밥과 김치를 곁들이면 그 자체로 훌륭한 한 상의 완성이예요!']"
호박국,"['조선호박', '대파', '홍고추', '물', '국간장', '새우젓']","['1kg', '40g', '1개', '1L', '½큰술', '1큰술']","['조선호박은 속을 제거한 뒤 3cm 두께로 썰어주세요.', '대파, 홍고추는 총총 썰어주세요.', '냄비에 순서 1과 물을 넣은 뒤 뚜껑을 덮고 한소끔 끓여주세요.*Tip. 호박이 많고 물이 다소 적은 듯 해야 맛있습니다.', '새우젓을 넣고 5분 정도 더 끓여주세요.*Tip. 호박이 뭉근해질때까지 끓여주세요!', '대파와 홍고추, 국간장을 넣어 완성해 주세요.', '따뜻할 때 국물을 음미하며 맛있게 즐겨보세요.']"
쑥국,"['데친 쑥', '멸치 다시마 육수', '쪽파', '양파', '청고추', '홍고추', '된장']","['100g', '9컵', '4줄기', '¼개', '1개', '½개', '1큰술']","['양파는 굵게 채를 썰어주세요. 쪽파는 4cm 길이로 썰어주세요. 청, 홍고추는 송송 썰어주세요.', '냄비에 멸치 다시마 육수를 넣고 된장을 풀어 끓여주세요. 보글보글 끓으면 데친 쑥과 양파, 청, 홍고추, 쪽파를 넣어 한소끔 끓여 주세요.', '완성된 쑥국을 그릇에 담고 밥과 함께 맛있게 즐겨주세요.']"
미더덕 된장찌개,"['미더덕', '무', '애호박', '두부', '양파', '대파', '청양고추', '홍고추 (생략 가능)', '멸치 다시다 육수', '된장', '고춧가루']","['400g', '1토막 (100g)', '½개', '½모', '½개', '½대', '2개', '½개', '600mL', '2큰술', '1작은술']","['깨끗이 씻은 애호박과 양파는 깍뚝 썰어주세요. 무는 나박 썰어주세요. 대파와 청양고추는 송송 썰어주세요. 두부는 한입 크기로 썰어주세요.', '냄비에 멸치 다시마 육수를 붓고 된장을 넣어 풀어 주세요. 국물이 끓으면 썰어둔 무와 호박을 넣어 1분간 끓여주세요.', '양파, 대파, 두부, 청양고추, 고춧가루를 넣고 한소끔 끓인 후 소금물에 깨끗이 씻은 미더덕을 넣어  2~3분간 끓여 완성해 주세요.', '맛있게 즐겨주세요. tip. 미더덕 안에 있는 수분에 입안을 델 수 있으니 아이들과 함께 먹는다면 미더덕을 손질할 때 수분을 터트린 후 사용해주세요. 미더덕의 톡톡 터지는 식감을 좋아하시는 분은 그냥 드셔도 무방하답니다.']"
꼬막장,"['꼬막', '청주', '대파', '양파', '청양고추', '홍고추', '통깨', '간장', '고춧가루', '맛술', '설탕', '올리고당', '생강즙', '다진 마늘', '참기름', '깨소금', '후춧가루']","['1kg', '2큰술', '½대', '¼개', '2개', '1개', '약간', '4큰술', '2큰술', '1큰술', '1작은술', '1큰술', '1큰술', '1큰술', '1큰술', '1작은술', '약간']","['해감한 꼬막은 깨끗이 비벼 씻어주세요. 끓는 물에 청주를 넣어 온도를 떨어뜨린 다음 꼬막을 넣고 한쪽으로 저어주면서 삶다가 입이 벌어지기 시작하면 체로 건져주세요.(꼬막은 삶을 때 한 방향으로 저어가며 삶아야 살이 한쪽으로 쏠려 껍질을 제거하기 편해요)', '삶은 꼬막은 살만 발라주세요. 볼에 양념 재료를 넣어 섞어주세요.(꼬막 삶은 물은 버리지 말고 해감이 덜 된 꼬막살을 씻어주세요)', '대파와 청고추는 송송 썰고, 홍고추는 반으로 갈라 씨를 뺀 후 얇게 썰어주세요. 양파는 잘게 다져주세요', '볼에 양념과 썰어둔 야채, 꼬막살을 넣어 버무려주세요.', '접시에 담아 통깨를 뿌려 맛있게 즐겨주세요.']"
고구마밥,"['고구마', '멥쌀', '현미', '물']","['1개', '⅔컵', '⅓컵', '1과 ⅓컵']","['1. 요리 전 현미와 멥쌀을 2시간 정도 불려주세요. 고구마는 깨끗하게 씻은 후 2~3cm로 깍둑썰기 해주세요.', '2. 냄비에 불린 현미와 멥쌀을 부어주세요.', '3. 2의 냄비에 손질된 고구마를 넣어 주세요.', '4. 냄비에 물 1과 1/3컵을 붓고 센 불에서 5분, 약불에서 10분간 끓여 주세요.', '5. 다 익은 밥을 그릇에 옮겨 담아 드세요.*Tip. 고구마의 껍질에는 전분을 분해하는 효소가 들어있어 소화를 촉진합니다. 암과 노화를 억제하 는 플라보노이드 성분도 풍부하게 들어있어요.']"
닭가슴살 깻잎전,"['닭가슴살', '새우', '대파 (흰부분)', '다진 마늘', '영양부추', '홍고추', '청고추', '깻잎', '간장', '포도씨유', '밀가루', '달걀', '소금']","['1쪽', '5마리', '¼대', '1큰술', '10g', '1개', '1개', '8장', '⅓큰술', '2큰술', '약간', '1개', '약간']","['1. 닭가슴살, 새우살은 한 입 크기로 썰고, 부추, 대파, 청·홍고추는 작게 썰어 준비해 주세요.', '2. 닭가슴살과 새우살은 블렌더나 핸드믹서로 곱게 갈아주세요.', '3. 2에 부추, 대파, 마늘, 청·홍고 추, 간장을 넣고 골고루 섞어 반죽해 주세요.', '4. 깻잎의 양쪽 면에 밀가루를 가볍게 묻힌 뒤 털어주시고, 3의 반죽을 8개로 나누어서 깻잎 사이에 채워 넣어주세요.', '5. 달걀에 소금을 약간 넣고 잘 풀어준 뒤, 속을 채운 깻잎에 달걀물을 골고루 입혀주세요.', '6. 달군 팬에 포도씨유를 두르고 깻잎을 앞뒤로 뒤집어가며 고르게 익혀주세요. 속까지 잘 익혀야 하므로 중불로 부쳐주세요.', '7. 완성된 깻잎전을 접시에 예쁘게 담아주세요.*Tip. 새우는 다져서 넣기 전에 등쪽의 검은 실처럼 보이는 내장을 제거해주세요.전은 기름을 넉넉히 두르고 부쳐야 풍미가 살아난답니다.']"
통현미 버섯 비빔밥,"['현미밥', '느타리버섯', '표고버섯', '깻잎', '팽이버섯', '우민찌 (소고기 갈은 것)', '포도씨유', '참기름', '맛간장 (조림,볶음용)', '물', '깨소금']","['2공기', '100g', '3~4개', '10장', '1팩', '100g', '약간', '1큰술', '2와 ½큰술', '2큰술', '약간']","['1. 실파는 송송 썰어서 준비해 주시고, 느타리버섯은 가늘게 찢어서, 표고버섯과 깻잎은 얇게 채 썰어서 준비해 주세요.', '2. 분량의 재료를 모두 넣고 골고루 섞어서 비빔양 념장을 만들어 주세요.', '3. 팬에 포도씨유를 약간 두르고 우민찌를 넣어 핏기가 없도록 볶아 주세요.', '4. 팬에 포도씨유를 약간 두르고 느타리버섯, 표고 버섯을 먼저 볶다가 팽이버섯을 넣어 같이 살짝 볶아 주세요.', '5. 현미밥에 준비한 재료들을 곁들여 완성해 주세요.*Tip. 대부분의 버섯은 손질 시 겉에 묻은 먼지를 털어내거나 마른 행주로 닦아냅니다. 이물이 많이 묻은 경우에는 조리하기 직전에 씻어서 바로 사용하거나 물기를 제거한 후 사용하면 돼요. 버섯은 씻으면 풍미가 떨어지므로 가급적 씻지 않고 사용해주세요. 팽이버섯은 너무 오래 익히지 않는 것이 좋아요.']"
김국,"['김', '대파', '다진마늘', '진간장', '물', '건새우', '소금', '참기름']","['6장', '¼대', '⅓큰술', '1큰술', '4컵', '10개', '약간', '약간']","['1. 살짝 구운 김은 굵게 부수고, 대파는 송송 썰어서 준비해 주세요.', '2. 냄비에 물 4컵과 건새우를 넣고 물이 끓어오르면 김, 대파, 다진마늘, 진간장을 넣어 김이 풀어질 때까지 끓여주세요.', '3. 소금으로 간을 맞춘 후 불을 끄고 참기름을 약간 넣어 완성해 주세요.*Tip. 김을 구워서 끓여야 더 고소하고 비릿한 맛도 줄어든답니다. 취향에 따라 달걀을 넣어서 별미로 즐길 수도 있고, 김의 향을 더욱 살리고 싶다면 김을 요리 마지막에 넣고 끓여주시면 좋아요!']"
케일 강된장쌈밥,"['케일', '밥', '애호박', '대파', '다진 마늘', '청양고추', '홍고추', '다시마 우린 물', '두부', '들기름', '소금', '통깨', '된장', '멸치액젓', '올리고당']","['16장', '2공기', '1/3개', '1/2개', '1큰술', '2개', '1개', '1컵', '1모', '약간', '약간', '약간', '2큰술', '1큰술', '1큰술']","['케일은 깨끗이 씻어 내열용기에 담고 물을 자작하게 붓고 랩또는 뚜껑을 씌워주세요. 법랑접시에 석쇠를 놓고 내열용기를 올려 1단에 넣고 광파오븐 수동 요리 <레인지>에서 1분간 조리해 주세요.', '밥에 소금과 통깨, 참기름을 넣고 섞은 후 한입 크기로 동그랗게 말아주세요.', '케일에 밥을 넣고 돌돌 말아주세요. (tip. 케일잎이 작으면 2겹 겹쳐서 사용해도 좋아요) (tip. 케일의 줄기부분을 얇게 썰어내면 말기 편리해요)', '애호박은 작게 깍뚝 썰고 대파, 고추는 송송 썰어주세요.', '냄비에 들기름을 약간 넣고 다진마늘을 볶다가 애호박을 넣고 볶아주세요. 강된장 양념 재료와 다시마 우린물을 넣고 한소끔 끓여주세요.', '두부는 깍뚝 썰어 소금으로 밑간 하고 달군 팬에 들기름을 둘러 노릇하게 구워내주세요. (tip. 구울 때 기름이 튈 수 있으니 두부는 키친 타월에 올려 물기를 제거해주세요)', '그릇에 강된장을 담고 케일쌈밥과 송송 썬 홍고추, 구운 두부를 올려 완성해주세요.']"
